"","site","species","resp.ratio.site_D4","resp.ratio.site_D6","resp.ratio.site_PDfull","resp.ratio.site_PDfirst","resp.ratio.site_PDfinal","SE.RII_D4","SE.RII_D6","SE.RII_PDfull","SE.RII_PDfirst","SE.RII_PDfinal","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"402","SBL","Linum_puberulum",-1,0.444444444444445,-0.647058823529412,-0.733333333333333,-1.0842021724855e-16,0,0.310028194189736,0.0717727475194217,0.0580396327951885,0.5,0.25,0.000599999999999998,0.416666666666667,41,0.583333333333333,0.75
"403","SBL","Lithospermum_incisum",-1,0.784615384615384,NA,NA,NA,0,0.02758047501675,NA,NA,NA,0.166666666666667,0.000875000000000003,0.447916666666667,44,0.552083333333333,0.833333333333333
"404","SBL","Lotus_plebeius",0.127655350406988,-0.087092451987495,0.68235294117647,0.65952080706179,1,0.0405904023894463,0.0347078199762001,0.123693739202102,0.148284465212016,0,0.583333333333333,0.0946499999999999,0.864583333333333,84,0.135416666666667,0.416666666666667
"405","SBL","Lycurus_phleoides",NA,NA,1,1,NA,NA,NA,0,0,NA,0,0,0,12.5,1,1
"406","SBL","Machaeranthera_gracilis",NA,0.116279069767441,-1,-1,-1,NA,0.16754197143917,0,0,0,0.25,0.001325,0.479166666666667,47,0.520833333333333,0.75
"407","SBL","Machaeranthera_pinnatifida",0.666770476487075,0.693491306354824,0.44421906693712,0.183673469387755,0.955911823647295,0.0349409511471201,0.015871684257304,0.185392627418977,0.30973471145994,0.00173788666547481,0.583333333333333,0.0370500000000001,0.729166666666667,71,0.270833333333333,0.416666666666667
"408","SBL","Machaeranthera_tanacetifolia",NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,12.5,1,1
"409","SBL","Malacothrix_fendleri",0.950078003120125,0.805285118219749,0.0666666666666667,-0.5,0.272727272727273,0.00130390926711937,0.00948554400818565,0.123027223003594,0.28125,0.111187585267225,0.333333333333333,0.011375,0.59375,58,0.40625,0.666666666666667
"410","SBL","Melampodium_leucanthum",0.629629629629629,0.629629629629628,NA,NA,NA,0.166998190833208,0.167038911496996,NA,NA,NA,0.0833333333333333,0.000625000000000004,0.427083333333333,42,0.572916666666667,0.916666666666667
"411","SBL","Mentzelia_albicaulis",NA,NA,1,1,1,NA,NA,0,0,0,0,0,0,12.5,1,1
"412","SBL","Mirabilis_linearis",1,0.578059071729957,1,1,1,0,0.149023085711882,0,0,0,0.0833333333333333,0.00125000000000001,0.458333333333333,45,0.541666666666667,0.916666666666667
"413","SBL","Muhlenbergia_arenacea",NA,NA,-1,NA,-1,NA,NA,0,NA,0,0.0833333333333333,0.00125000000000001,0.46875,46,0.53125,0.916666666666667
"414","SBL","Muhlenbergia_arenicola",-0.184534270650262,-0.402684563758388,-0.829268292682927,-1,1,0.103551373006486,0.0520699823347951,0.0369170744142638,0,0,0.833333333333333,0.0917499999999997,0.854166666666667,83,0.145833333333333,0.166666666666667
"415","SBL","Munroa_squarrosa",NA,NA,0.466666666666667,NA,0.466666666666667,NA,NA,0.195838599781216,NA,0.194427097182652,0.0833333333333333,5e-04,0.40625,40,0.59375,0.916666666666667
