Site,Date,Month,Day,Year,ambient_precip
SGS,8/15/2017,8,15,2017,1.016
SGS,8/16/2017,8,16,2017,0
SGS,8/17/2017,8,17,2017,0
SGS,8/18/2017,8,18,2017,0
SGS,8/19/2017,8,19,2017,0
SGS,8/20/2017,8,20,2017,0
SGS,8/21/2017,8,21,2017,0
SGS,8/22/2017,8,22,2017,0
SGS,8/23/2017,8,23,2017,2.032
SGS,8/24/2017,8,24,2017,0
SGS,8/25/2017,8,25,2017,0
SGS,8/26/2017,8,26,2017,0
SGS,8/27/2017,8,27,2017,0
SGS,8/28/2017,8,28,2017,0
SGS,8/29/2017,8,29,2017,0
SGS,8/30/2017,8,30,2017,0
SGS,8/31/2017,8,31,2017,0.508
SGS,9/1/2017,9,1,2017,0
SGS,9/2/2017,9,2,2017,0
SGS,9/3/2017,9,3,2017,0
SGS,9/4/2017,9,4,2017,0
SGS,9/5/2017,9,5,2017,0
SGS,9/6/2017,9,6,2017,0
SGS,9/7/2017,9,7,2017,0
SGS,9/8/2017,9,8,2017,0
SGS,9/9/2017,9,9,2017,0
SGS,9/10/2017,9,10,2017,0.508
SGS,9/11/2017,9,11,2017,0
SGS,9/12/2017,9,12,2017,0
SGS,9/13/2017,9,13,2017,0.762
SGS,9/14/2017,9,14,2017,0
SGS,9/15/2017,9,15,2017,3.048
SGS,4/1/2018,4,1,2018,1.2
SGS,4/2/2018,4,2,2018,0
SGS,4/3/2018,4,3,2018,0
SGS,4/4/2018,4,4,2018,0
SGS,4/5/2018,4,5,2018,0
